"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ninjawarrior: The #AmericanNinjaWarrior Finale had so many surprises. Did you catch @TheRock's big announcement?

@nbctitangames is com…",FALSE,0,NA,2019-09-18 21:15:46,FALSE,NA,"1174431847297605632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",78,TRUE,FALSE,NA,NA
"RT @Eastbay: Mark your calendar <U+0001F4C5> for the @UnderArmour Project Rock 2 release, dropping on 9/19! @therock #UnderArmour #BuildtheBelief http…",FALSE,0,NA,2019-09-18 16:31:23,FALSE,NA,"1174360278420488192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",93,TRUE,FALSE,NA,NA
"<U+0001F410><U+0001F3BF> @lindseyvonn 
Our new @ProjectRock women’s collection drops THIS THURSDAY. Gear will have you feeling like (and… https://t.co/LpcBWpSONi",FALSE,1858,NA,2019-09-18 16:31:06,TRUE,NA,"1174360208283320320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",107,FALSE,FALSE,NA,NA
"I need to go to this spot next time I’m in Japan - Wagyu it up with my twin here. #saketime 
What’s the name of thi… https://t.co/PPlIgS4PWy",FALSE,14561,NA,2019-09-18 05:16:29,TRUE,NA,"1174190435780190211",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",1015,FALSE,FALSE,NA,NA
"Lace em <U+0001F45F><U+0001F525>up. 
This Thursday, the #1 seller and first of its kind projectrock training shoe with @underarmour’s HOV… https://t.co/hCaQQM1QvI",FALSE,2030,NA,2019-09-18 01:43:12,TRUE,NA,"1174136761477410818",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheRock",142,FALSE,FALSE,NA,NA
"@bverhoev @ProjectRock @UnderArmour Ladies too. Every color Bea!! <U+0001F4AA><U+0001F3FE>",FALSE,21,"bverhoev",2019-09-18 00:38:18,FALSE,"1174119298610028544","1174120427435610113","60112751","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",4,FALSE,FALSE,NA,NA
"This Thursday, first of its kind training shoe w/ HOVR technology drops in new color ways. 
@ProjectRock… https://t.co/7W11nSf8NV",FALSE,2391,NA,2019-09-18 00:30:33,TRUE,NA,"1174118474680897536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",175,FALSE,FALSE,NA,NA
"RT @DanyGarciaCo: Season 2 &amp; The Titan Arena is ready for you! Our @SevenBucksProd @NBCTitanGames will return with even more insane challen…",FALSE,0,NA,2019-09-17 18:42:54,FALSE,NA,"1174030986520059904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",105,TRUE,FALSE,NA,NA
"RT @SevenBucksProd: The @NBCTitanGames arena is open for SEASON 2, and @TheRock is ready to raise the bar with even more epic and insane ch…",FALSE,0,NA,2019-09-17 18:42:47,FALSE,NA,"1174030956023275522",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",50,TRUE,FALSE,NA,NA
"RT @nbctitangames: <U+0001F440><U+0001F440><U+0001F440> https://t.co/qBaVVZlcTA",FALSE,0,NA,2019-09-17 18:41:16,FALSE,NA,"1174030574589108224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",69,TRUE,FALSE,NA,NA
"JUST ANNOUNCED on the #AmericanNinjaWarrior finale - Our hit series @NBCTitanGames IS BACK FOR SEASON 2! 
Congrats… https://t.co/UvvUslGQOE",FALSE,3701,NA,2019-09-17 06:27:13,TRUE,NA,"1173845846170853376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",310,FALSE,FALSE,NA,NA
"The wildin’ out we did <U+0001F4F8> in front of 20,000 rabid fans. 
If you look closely, we have a thick leather strap tied to… https://t.co/twHYQzDbjt",FALSE,25046,NA,2019-09-17 01:11:53,TRUE,NA,"1173766491054854144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",2802,FALSE,FALSE,NA,NA
"Who's the most badass athletic competitor in the world? I think I've got an answer to that during TONIGHT’S excitin… https://t.co/qzj6u8gSmQ",FALSE,2804,NA,2019-09-16 22:30:39,TRUE,NA,"1173725916033208320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",210,FALSE,FALSE,NA,NA
"@stevenspohn Done. Happy Birthday buddy!! <U+0001F44D><U+0001F3FE>",FALSE,3755,"stevenspohn",2019-09-16 01:49:57,FALSE,"1173251889447821313","1173413683864621058","18237511","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",93,FALSE,FALSE,NA,NA
"@JayGlazer @ConnorHazelton @michaelstrahan Hahah great final answer. I’m a glutton for guilt brother <U+0001F602>",FALSE,77,"JayGlazer",2019-09-15 19:20:45,FALSE,"1173302322719420418","1173315737064099840","55307193","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",10,FALSE,FALSE,NA,NA
"<U+2764><U+FE0F><U+0001F943>
Wow I was nominated for FIVE @peopleschoice Awards. 
Always shake my head and smile at stuff like this.
Never e… https://t.co/W9Z0Sv8F2k",FALSE,8113,NA,2019-09-14 16:52:06,TRUE,NA,"1172915938351403010",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",462,FALSE,FALSE,NA,NA
"@thejaredbush @joshgad Holy Christ will stop flirting on Twitter. It’s embarrassing.",FALSE,146,"thejaredbush",2019-09-14 04:06:30,FALSE,"1172722730774364160","1172723270908465154","224825865","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",6,FALSE,FALSE,NA,NA
